book_id,title,authors,original_publication_year,language_code,average_rating,ratings_count,title_norm,authors_norm,tags_text,n_ratings,item_text
7996,"Redwall (Redwall, #1)",Brian Jacques,1986,eng,4.11,73918,"redwall (redwall, #1)",brian jacques,fantasy favorites young-adult fiction to-read childrens owned ya adventure series,100,"redwall (redwall, #1) brian jacques fantasy favorites young-adult fiction to-read childrens owned ya adventure series"
5659,The Wind in the Willows,"Kenneth Grahame, Gillian Avery",1908,eng,3.98,124612,the wind in the willows,"kenneth grahame, gillian avery",classics to-read fiction childrens fantasy favorites children classic children-s books-i-own,100,"the wind in the willows kenneth grahame, gillian avery classics to-read fiction childrens fantasy favorites children classic children-s books-i-own"
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000,eng,4.53,1753043,"harry potter and the goblet of fire (harry potter, #4)","j.k. rowling, mary grandpré",fantasy young-adult fiction harry-potter owned ya series favourites childrens re-read,100,"harry potter and the goblet of fire (harry potter, #4) j.k. rowling, mary grandpré fantasy young-adult fiction harry-potter owned ya series favourites childrens re-read"
903,"The Egypt Game (Game, #1)",Zilpha Keatley Snyder,1967,eng,3.81,26657,"the egypt game (game, #1)",zilpha keatley snyder,to-read fiction young-adult childrens currently-reading favorites mystery children-s children childhood,100,"the egypt game (game, #1) zilpha keatley snyder to-read fiction young-adult childrens currently-reading favorites mystery children-s children childhood"
1274,"Men Are from Mars, Women Are from Venus",John Gray,1998,en-US,3.52,113915,"men are from mars, women are from venus",john gray,to-read currently-reading non-fiction self-help psychology relationships nonfiction favorites owned books-i-own,100,"men are from mars, women are from venus john gray to-read currently-reading non-fiction self-help psychology relationships nonfiction favorites owned books-i-own"
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,eng,4.44,4602479,"harry potter and the sorcerer's stone (harry potter, #1)","j.k. rowling, mary grandpré",to-read favorites fantasy currently-reading young-adult fiction harry-potter books-i-own owned owned,100,"harry potter and the sorcerer's stone (harry potter, #1) j.k. rowling, mary grandpré to-read favorites fantasy currently-reading young-adult fiction harry-potter books-i-own owned owned"
2152,The Jane Austen Book Club,Karen Joy Fowler,2004,en-US,3.07,53128,the jane austen book club,karen joy fowler,to-read fiction chick-lit currently-reading books-i-own romance book-club contemporary jane-austen owned,100,the jane austen book club karen joy fowler to-read fiction chick-lit currently-reading books-i-own romance book-club contemporary jane-austen owned
2657,To Kill a Mockingbird,Harper Lee,1960,eng,4.25,3198671,to kill a mockingbird,harper lee,classics favorites to-read classic historical-fiction owned school clàssics favourites literature,100,to kill a mockingbird harper lee classics favorites to-read classic historical-fiction owned school clàssics favourites literature
4671,The Great Gatsby,F. Scott Fitzgerald,1925,eng,3.89,2683664,the great gatsby,f. scott fitzgerald,classics favorites fiction classic books-i-own owned literature school historical-fiction to-read,100,the great gatsby f. scott fitzgerald classics favorites fiction classic books-i-own owned literature school historical-fiction to-read
7669,Timeline,Michael Crichton,1999,en-US,3.83,148563,timeline,michael crichton,to-read fiction science-fiction sci-fi currently-reading favorites thriller time-travel historical-fiction fantasy,100,timeline michael crichton to-read fiction science-fiction sci-fi currently-reading favorites thriller time-travel historical-fiction fantasy
5907,The Hobbit,J.R.R. Tolkien,1937,en-US,4.25,2071616,the hobbit,j.r.r. tolkien,fantasy favorites classics to-read fiction books-i-own classic adventure young-adult favourites,100,the hobbit j.r.r. tolkien fantasy favorites classics to-read fiction books-i-own classic adventure young-adult favourites
